TxX,TxY,TxV,RxX,RxY,RxV
-68.8407703,-12.33900698,9.639741206,-53.18628382,-19.2531532,9.833234936
-70.27874326,-12.23092268,9.655370059,-51.72101061,-19.3587486,9.817921704
-71.71954184,-12.12345713,9.675795727,-50.25800432,-19.46485719,9.804277855
-73.16382441,-12.01650659,9.700388666,-48.79703122,-19.57153048,9.792187271
-74.61215615,-11.90996101,9.728555318,-47.33787578,-19.67880428,9.781490531
-76.06500983,-11.80371137,9.759662077,-45.8803452,-19.7867046,9.772024747
-77.52276315,-11.69765963,9.793056701,-44.42426916,-19.89525062,9.76363945
-78.98569996,-11.59172409,9.828110875,-42.96949847,-20.00445751,9.756196006
-80.45401646,-11.48583776,9.864256184,-41.51590258,-20.11433518,9.749575661
-81.92783219,-11.37994378,9.901021285,-40.06336695,-20.22488373,9.743663811
-83.40720359,-11.27399249,9.93802428,-38.61179281,-20.33609432,9.738344037
-84.89213619,-11.16793834,9.974961522,-37.16109618,-20.44795126,9.733520873
-86.3825964,-11.06173428,10.01161926,-35.71120161,-20.56042761,9.729151543
-87.87852201,-10.95533167,10.0478359,-34.26203394,-20.67348319,9.72524269
-89.37983329,-10.84868706,10.08353061,-32.81351302,-20.78706733,9.721826614
-90.88644631,-10.74176148,10.11871729,-31.36555499,-20.90111937,9.71889537
-92.39828137,-10.63451094,10.15344644,-29.91808096,-21.01557019,9.716367869
-93.91526668,-10.52687656,10.187802,-28.47102645,-21.13034536,9.714119506
-95.43734253,-10.4187823,10.22189752,-27.02434441,-21.24536725,9.712034312
-96.96446468,-10.31013937,10.25585292,-25.5780014,-21.36055729,9.710044043
-98.49660315,-10.20084976,10.28975834,-24.13197229,-21.47583945,9.708111281
-100.0337387,-10.09080948,10.32368101,-22.6862402,-21.59114247,9.706174912
-101.5758607,-9.979911569,10.35767848,-21.24080206,-21.70640078,9.704125674
-103.122967,-9.868049446,10.39180543,-19.79567383,-21.82155483,9.701835662
-104.6750631,-9.755122065,10.42610404,-18.35089294,-21.9365492,9.699158899
-106.232159,-9.641038814,10.46057236,-16.9065198,-22.05133451,9.695950736
-107.7942615,-9.525723359,10.49514476,-15.46263764,-22.16587352,9.692081287
-109.3613653,-9.409119279,10.52968379,-14.01935521,-22.28014527,9.68738043
-110.9334441,-9.291197594,10.56399554,-12.57681454,-22.39415189,9.681630182
-112.5104453,-9.171958794,10.59785727,-11.13519628,-22.50792815,9.674611259
-114.0922822,-9.051427432,10.63098394,-9.694717908,-22.62154461,9.666139146
-115.6788156,-8.929648644,10.66291815,-8.255626603,-22.73510126,9.656076309
-117.26983,-8.806689129,10.69305428,-6.818190936,-22.84871416,9.644318331
-118.8650224,-8.68263621,10.72078817,-5.382694268,-22.96250303,9.630785969
-120.4640051,-8.557596772,10.74555474,-3.94942773,-23.07658086,9.615444907
-122.0663079,-8.431696283,10.76677903,-2.518680112,-23.19104182,9.598322599
-123.6713772,-8.30507451,10.78389585,-1.090726035,-23.30594758,9.579508481
